level_1,level_2,level_3,level_4,level_5,radius_mm
deformable,record_250_empty_1,sample_0000,,,70.5
deformable,record_250_empty_1,sample_0001,,,69.7
deformable,record_250_empty_1,sample_0002,,,67.0
deformable,record_250_empty_1,sample_0003,,,67.0
deformable,record_250_empty_1,sample_0004,,,69.9
deformable,record_250_empty_1,sample_0005,,,68.7
deformable,record_250_empty_1,sample_0006,,,70.2
deformable,record_250_empty_1,sample_0007,,,69.9
deformable,record_250_empty_1,sample_0008,,,70.2
deformable,record_250_empty_1,sample_0009,,,70.5
deformable,record_250_empty_1,sample_0010,,,70.3
deformable,record_250_empty_1,sample_0011,,,70.4
deformable,record_250_empty_1,sample_0012,,,69.8
deformable,record_250_empty_1,sample_0013,,,70.5
deformable,record_250_empty_1,sample_0014,,,70.5
deformable,record_250_empty_1,sample_0015,,,70.3
deformable,record_250_empty_1,sample_0016,,,70.0
deformable,record_250_empty_1,sample_0017,,,70.3
deformable,record_250_empty_1,sample_0018,,,70.0
deformable,record_250_empty_1,sample_0019,,,70.0
deformable,record_250_empty_1,sample_0020,,,69.9
deformable,record_250_empty_1,sample_0021,,,70.3
deformable,record_250_empty_1,sample_0022,,,70.3
deformable,record_250_empty_1,sample_0023,,,71.0
deformable,record_250_empty_1,sample_0024,,,71.0
deformable,record_250_empty_1,sample_0025,,,70.9
deformable,record_250_empty_1,sample_0026,,,66.0
deformable,record_250_empty_10,sample_0000,,,19.5
deformable,record_250_empty_10,sample_0001,,,21.2
deformable,record_250_empty_10,sample_0002,,,19.0
deformable,record_250_empty_10,sample_0003,,,21.5
deformable,record_250_empty_10,sample_0004,,,19.3
deformable,record_250_empty_10,sample_0005,,,19.5
deformable,record_250_empty_10,sample_0006,,,21.5
deformable,record_250_empty_10,sample_0007,,,18.3
deformable,record_250_empty_10,sample_0008,,,25.1
deformable,record_250_empty_10,sample_0009,,,22.6
deformable,record_250_empty_10,sample_0010,,,25.7
deformable,record_250_empty_10,sample_0011,,,24.1
deformable,record_250_empty_10,sample_0012,,,24.0
deformable,record_250_empty_10,sample_0013,,,20.3
deformable,record_250_empty_10,sample_0014,,,20.3
deformable,record_250_empty_10,sample_0015,,,18.5
deformable,record_250_empty_10,sample_0016,,,20.4
deformable,record_250_empty_10,sample_0017,,,20.2
deformable,record_250_empty_10,sample_0018,,,19.7
deformable,record_250_empty_10,sample_0019,,,19.8
deformable,record_250_empty_10,sample_0020,,,19.4
deformable,record_250_empty_10,sample_0021,,,23.5
deformable,record_250_empty_10,sample_0022,,,24.8
deformable,record_250_empty_10,sample_0023,,,18.7
deformable,record_250_empty_10,sample_0024,,,25.4
deformable,record_250_empty_10,sample_0025,,,21.7
deformable,record_250_empty_10,sample_0026,,,22.4
deformable,record_250_empty_10,sample_0027,,,25.9
deformable,record_250_empty_10,sample_0028,,,20.6
deformable,record_250_empty_10,sample_0029,,,23.1
deformable,record_250_empty_10,sample_0030,,,18.4
deformable,record_250_empty_10,sample_0031,,,26.1
deformable,record_250_empty_10,sample_0032,,,24.4
deformable,record_250_empty_2,sample_0000,,,69.3
deformable,record_250_empty_2,sample_0001,,,69.3
deformable,record_250_empty_2,sample_0002,,,66.8
deformable,record_250_empty_2,sample_0003,,,70.6
deformable,record_250_empty_2,sample_0004,,,68.9
deformable,record_250_empty_2,sample_0005,,,68.9
deformable,record_250_empty_2,sample_0006,,,66.9
deformable,record_250_empty_2,sample_0007,,,64.6
deformable,record_250_empty_2,sample_0008,,,67.1
deformable,record_250_empty_2,sample_0009,,,69.1
deformable,record_250_empty_2,sample_0010,,,67.5
deformable,record_250_empty_2,sample_0011,,,66.2
deformable,record_250_empty_2,sample_0012,,,67.5
deformable,record_250_empty_2,sample_0013,,,64.6
deformable,record_250_empty_3,sample_0000,,,45.9
deformable,record_250_empty_3,sample_0001,,,43.8
deformable,record_250_empty_3,sample_0002,,,43.5
deformable,record_250_empty_3,sample_0003,,,38.1
deformable,record_250_empty_3,sample_0004,,,37.3
deformable,record_250_empty_3,sample_0005,,,37.0
deformable,record_250_empty_3,sample_0006,,,35.0
deformable,record_250_empty_3,sample_0007,,,33.6
deformable,record_250_empty_3,sample_0008,,,34.2
deformable,record_250_empty_3,sample_0009,,,30.9
deformable,record_250_empty_3,sample_0010,,,32.2
deformable,record_250_empty_3,sample_0011,,,30.1
deformable,record_250_empty_3,sample_0012,,,29.1
deformable,record_250_empty_3,sample_0013,,,28.0
deformable,record_250_empty_3,sample_0014,,,26.9
deformable,record_250_empty_3,sample_0015,,,29.1
deformable,record_250_empty_3,sample_0016,,,29.2
deformable,record_250_empty_3,sample_0017,,,29.3
deformable,record_250_empty_3,sample_0018,,,28.8
deformable,record_250_empty_3,sample_0019,,,30.3
deformable,record_250_empty_3,sample_0020,,,30.4
deformable,record_250_empty_3,sample_0021,,,29.0
deformable,record_250_empty_3,sample_0022,,,28.0
deformable,record_250_empty_3,sample_0023,,,30.5
deformable,record_250_empty_3,sample_0024,,,30.6
deformable,record_250_empty_3,sample_0025,,,30.6
deformable,record_250_empty_3,sample_0026,,,29.7
deformable,record_250_empty_3,sample_0027,,,28.6
deformable,record_250_empty_3,sample_0028,,,28.5
deformable,record_250_empty_3,sample_0029,,,29.9
deformable,record_250_empty_3,sample_0030,,,29.9
deformable,record_250_empty_3,sample_0031,,,30.2
deformable,record_250_empty_3,sample_0032,,,29.6
deformable,record_250_empty_3,sample_0033,,,29.6
deformable,record_250_empty_4,sample_0000,,,25.6
deformable,record_250_empty_4,sample_0001,,,24.1
deformable,record_250_empty_4,sample_0002,,,25.4
deformable,record_250_empty_4,sample_0003,,,25.1
deformable,record_250_empty_4,sample_0004,,,25.2
deformable,record_250_empty_4,sample_0005,,,26.0
deformable,record_250_empty_4,sample_0006,,,22.6
deformable,record_250_empty_4,sample_0007,,,25.2
